identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
1.2.4,Planifier la rénovation  des bâtiments résidentiels et tertiaires et la construction durable sur le territoire,"La collectivité possède un ou des dispositifs structurant la politique de construction et de rénovation des bâtiments (résidentiels et tertiaires) sur son territoire, visant à promouvoir la performance climat-air-énergie.

Cette politique hiérarchise les priorités d’actions, et fixe des objectifs chiffrés opérationnels et territorialisés (nombre, type de bâtiments et niveau de performances…), en accord avec les objectifs nationaux (déclinaison du plan de rénovation énergétique de l’habitat notamment).

La stratégie locale est formalisée : dans un programme local de l’habitat (PLH), dans une stratégie de rénovation du tertiaire ou dans les documents de cadrage d’un espace conseil France Rénov, par exemple. Elle est construite de façon transversale et intégrée avec la planification des déplacements, l’aménagement du territoire, la planification urbaine et le plan climat air énergie territorial.","**Contexte et enjeux**

Le parc résidentiel est responsable des 2/3 des émissions de GES du secteur du bâtiment.

L’intégration des enjeux et objectifs climat-air-énergie au sein du PLH (et des autres documents d’urbanisme et programmes) permet de mobiliser les acteurs de l’habitat et d’être cohérent avec les objectifs de rénovation et de construction durable fixés dans le Plan Climat Air Energie territorial ou équivalent.

Il est nécessaire d’inciter tous les acteurs du territoire afin de stimuler le lancement de chantiers de réhabilitation et de construction énergétiquement performants du parc privé.

**Réglementation**

Le plan de rénovation énergétique des bâtiments souhaite massifier la rénovation énergétique. Avec la loi relative à la transition énergétique et la croissance verte (LTECV), la stratégie nationale bas-carbone (SNBC) et la programmation pluriannuelle de l’énergie (PPE), l’État s’est fixé de nombreux objectifs en matière de rénovation énergétique, tant des logements que des bâtiments tertiaires. L’objectif est d’atteindre la neutralité carbone d’ici à 2050 tout en poursuivant un objectif social de lutte contre la précarité énergétique.

[https://www.ecologie.gouv.fr/plan-renovation-energetique-des-batiments](https://www.ecologie.gouv.fr/plan-renovation-energetique-des-batiments)

Avec la loi relative à la transition énergétique et la croissance verte, la France s’est fixée de nombreux objectifs en matière de rénovation énergétique :

-   Rénover l’ensemble du parc de bâtiments au niveau Bâtiment Basse Consommation d’ici 2050 ;
    
-   Rénover 500 000 logements par an, dont 50% occupés par des ménages aux revenus modestes ;
    
-   Rénover toutes les passoires thermiques du parc privé d’ici 2025.
    

Le contenu du programme local de l’habitat (PLH) est défini dans le code de la construction et de l’habitation (article L302-1). Il est obligatoire pour toutes les communautés de communes compétentes en matière d'habitat de plus de 50 000 habitants comprenant au moins une commune de plus de 15 000 habitants, les communautés d'agglomération et les communautés urbaines. Il est défini pour une durée au moins égale à six ans. A noter qu’un certain nombre de collectivités s’engagent également dans des PLH volontaires, c’est-à-dire que leur poids démographique, leur statut ou leurs compétences n’engendrent aucune obligation réglementaire à ce sujet.

La loi ELAN (Évolution du Logement, de l’Aménagement et du Numérique) a inscrit au code de la construction et de l’habitation une obligation de réduire la consommation énergétique des bâtiments tertiaires. Le décret n°2019-771 du 23 juillet 2019 précise les modalités de mise en œuvre.","**Ville et Métropole de Brest**

En 2012, en lien avec le PCET, la collectivité a mis en place le dispositif Tinergie (assuré par Ener’gence, l’Agence Locale de l’Energie et du Climat) afin de massifier à la rénovation du parc de maisons individuelles du territoire. Le dispositif vise à fédérer l’ensemble des acteurs locaux (entreprise et artisans). Le dispositif s’est complété au fil du temps avec un Service Local d’Intervention pour la Maîtrise de l’Energie en direction des locataires modestes dans le parc privé et avec une filière « copropriété ».

Depuis 2012, plus de 2000 rénovations réalisées. En 2019 : 548 rénovations de logement ont été engagées (dont 358 maisons individuelles et 200 copropriétés) ; 200 logements ont atteint le niveau BBC et plus de 600 logements ont été audités. Ce bilan est partiel, car les bénéficiaires d’un premier conseil Tinergie (27 min par conseil) peuvent finalement décider de poursuivre seuls et sans aide financière. Ils ne sont donc pas comptabilisés dans ces chiffres.

Tinergie devient « FAIRE avec Tinergie » suite au lancement du programme SARE en 2019 par l’Etat et l’Ademe.

[FAIRE avec Tinergie](http://tinergie-brest.fr/)

→ Source : dossier de candidature Cit’ergie, 2021

**CU et ville d’Alençon**

Plateforme territoriale de rénovation énergétique « TECH : Travaux Energie Confort Habitat »

Depuis 2018, dans le cadre de l’Agenda 21 #2, la Communauté Urbaine d’Alençon anime une plateforme territoriale de rénovation énergétique. Service gratuit et neutre pour les habitants de la CUA, les conseillers TECH accompagnent les particuliers dans leurs futurs travaux. En novembre 2020, TECH avait accompagné 266 ménages dont 72 ménages à la signature d’un premier devis.

En moyenne, ces derniers ont engagés entre 2 à 3 types de travaux différents pour un gain énergétique estimatif de 40% et un budget moyen de 20 000 € et soit une retombée économique de près de 1.4 million d’euros pour les entreprises situées dans un périmètre de 50 km autour d’Alençon.

Cette expérimentation de 3 ans, soutenue par l’ADEME Normandie et l’Europe à travers les fonds LEADER, ayant été concluante, la collectivité continue et amplifie sa démarche à travers France Rénov.

[https://www.cu-alencon.fr/la-cua-a-votre-service/developpement-durable/tech-travaux-energie-conseil-habitat/](https://www.cu-alencon.fr/la-cua-a-votre-service/developpement-durable/tech-travaux-energie-conseil-habitat/ )","**Documents et web**

Observatoire national de la rénovation énergétique - Le parc de logements par classe de performance énergétique au 1er janvier 2022 :

[https://www.statistiques.developpement-durable.gouv.fr/le-parc-de-logements-par-classe-de-performance-energetique-au-1er-janvier-2022-0](https://www.statistiques.developpement-durable.gouv.fr/le-parc-de-logements-par-classe-de-performance-energetique-au-1er-janvier-2022-0 )

Le service public de la rénovation de l’habitat :

[https://france-renov.gouv.fr/](https://france-renov.gouv.fr/ )

Outil OTELO – Cerema (outil qui permet de paramétrer l’estimation des besoins en logements) :

[http://outil2amenagement.cerema.fr/l-outil-pour-la-territorialisation-de-la-r796.html](http://outil2amenagement.cerema.fr/l-outil-pour-la-territorialisation-de-la-r796.html)",12,,,,,,,,,"si identite(type, EPCI) et reponse(habitat_1, NON) alors 8/12 
sinon si identite(type, commune) alors max (reponse(habitat_2), 0.5) 
","Pour un EPCI n'ayant pas la compétence habitat, le score de la 1.2.4 est réduit à 8 points.

Si la collectivité est une commune, le potentiel est réduit à la part de la commune dans la collectivité compétente en matière de Programme Local de l’Habitat (PLH), dans la limite de 50 %.","habitat_1, habitat_2","cae_1.c, cae_2.e, cae_8",,
1.2.4.1,"Prendre en compte les enjeux climat-air-énergie dans la stratégie ""habitat""",,,,,,15,bases,,,,,,,,,,,,
1.2.4.1.1,Disposer d'un Programme Local de l'Habitat (PLH) n’ayant pas plus de 6 ans et anticiper son renouvellement,,,,,,,,,,,,,,,,,,,
1.2.4.1.2,Prendre en compte les enjeux environnementaux dans le programme local de l'habitat (PLH),"La maîtrise des déplacements, la limitation de la consommation énergétique et des ressources naturelles (parmi lesquelles le foncier), la qualité de l’air (intérieur et extérieur) sont bien présentes dans le PLH (ou équivalent) à côté des préoccupations sociales ou économiques traditionnelles.",,,,,,,,,,,,,,,,,,
1.2.4.1.3,Intégrer dans le diagnostic du Programme Local de l'Habitat (ou équivalent) des éléments sur la performance énergétique du parc bâti,"Collecte de données locales permettant de réaliser une cartographie du parc bâti par type de bâtiment, enquête sur les travaux de rénovation effectués, etc.",,,,,,,,,,,,,,,,,,
1.2.4.1.4,Indiquer la rénovation thermique de l'habitat comme un objectif prioritaire du Programme Local de l'Habitat,"La rénovation thermique est inscrite dans le programme local de l'habitat (ou équivalent) ou dans d’autres programmes (ex : PIG, convention SARE (espace conseil France Rénov)) et projets (ex : projets ANRU – Agence Nationale pour la Rénovation Urbaine, projets de territoires d’un PETR).

Cet enjeu est identifié spécifiquement et non noyé dans le document.",,,,,,,,,,,,,,,,,,
1.2.4.1.5,Identifier l'adaptation au changement climatique (et plus particulièrement le confort d'été) comme une thématique à fort enjeu,,,,,,,,,,,,,,,,,,,
1.2.4.2,Disposer d'une stratégie pour la rénovation des locaux tertiaires,,,,,,10,bases,,,,,,,,,,,,
1.2.4.2.1,Disposer d'un diagnostic sur l'état du parc bâti tertiaire du territoire,Le diagnostic inclut les informations recueillies dans le cadre du dépôt de dossier technique répondant au décret tertiaire.,,,,,,,,,,,,,,,,,,
1.2.4.2.2,Disposer d'un document cadre visant à qualifier/inciter la construction et la rénovation performante des locaux tertiaires,"Ce document peut être remplacé par un volet clairement identifié dans un autre document de planification.

Ce document cadre couvre le schéma directeur de zone d'activités, la stratégie de rénovation du tertiaire, le référentiel constructif pour les locaux tertiaires...).

Ce document cadre reprend notamment les actions identifiées dans le dossier technique déposé sur la plateforme OPERAT .",,,,,,,,,,,,,,,,,,
1.2.4.3,Construire la politique  sur le bâtiment de façon transversale et intégrée avec les autres thématiques et acteurs,,,,,,25,mise en œuvre,,,,,,,,,,,,
1.2.4.3.1,Mobiliser les parties prenantes de son territoire directement concernées par la construction et la rénovation performante (BBC ou équivalent) pour construire sa politique,,,,,,,,,,,,,,,,,,,
1.2.4.3.2,Limiter l’étalement urbain de la politique de l’habitat et du tertiaire,"Fixer un nombre maximum de nouveaux logements (ou de surfaces de locaux tertiaires/commerciaux), encadrer leur typologie (collectif, individuel, intermédiaire) et leur localisation (% de logements/locaux tertiaire dans l’enveloppe urbaine, % en renouvellement, % en extension…).

Fixer des densités planchers différenciées selon les secteurs.",,,,,,,,,,,,,,,,,,
1.2.4.3.3,Définir des zones préférentielles de développement dans le Programme Local de l'Habitat cohérentes avec la mobilité durable,"Le PLH (ou équivalent) définit des zones préférentielles de développement dans des zones bien desservies par les transports en communs et/ou dans des zones au trafic apaisé favorisant les modes actifs de préférence à la voiture et/ou dans des zones où l’exposition aux polluants atmosphériques est minimale ; ou facilitant le recours aux énergies renouvelables ou de récupération, tout en prenant en compte l'exposition aux polluants atmosphériques.",,,,,,,,,,,,,,,,,,
1.2.4.3.4,Contextualiser et prioriser la politique de la collectivité par rapport aux enjeux forts/spécifiques du territoire,"Exemples d'enjeux forts/spécifiques du territoire : habitat social, copropriétés, résidences secondaires, revitalisation des centres-bourg, lutte contre la vacance, bâti à caractère patrimonial, etc.",,,,,,,,,,,,,,,,,,
1.2.4.3.5,"Faciliter l’appropriation par les communes (déclinaison des objectifs, articulation avec les PLU et les projets communaux, travail d'animation)",,,,,,,,,,,,,,,,,,,
1.2.4.4,Fixer des niveaux de performance élevés à atteindre pour les constructions et les rénovations  des bâtiments,,,,,,20,mise en œuvre,,,,,,,,,,,,
1.2.4.4.1,Fixer des objectifs chiffrés en matière de rénovation thermique et de construction neuve dans le Programme Local de l'Habitat (ou équivalent),"Ces objectifs sont en lien avec les objectifs nationaux.

Le PLH peut être remplacé par un autre dispositif de planification de la construction/rénovation.",,,,,,,,,,,,,,,,,,
1.2.4.4.2,Faire référence à des labels de performance dans le Programme Local de l'Habitat (ou équivalent),,,,,,,,,,,,,,,,,,,
1.2.4.4.3,Définir également des objectifs chiffrés et des critères de performance pour les bâtiments tertiaires,,,,,,,,,,,,,,,,,,,
1.2.4.4.4,Viser l'amélioration de la qualité de l'air intérieur des bâtiments,Par exemple avec des exigences ou recommandations sur les systèmes de ventilation ou des recommandations sur les matériaux utilisés.,,,,,,,,,,,,,,,,,,
1.2.4.4.5,Viser le confort d'été des bâtiments,"Par exemple avec des exigences ou recommandations sur les dispositifs d'occultation, la végétalisation, l'albédo des matériaux, leur inertie, la ventilation",,,,,,,,,,,,,,,,,,
1.2.4.5,Associer à la planification des dispositifs opérationnels et financiers,"En lien avec le programme national SARE (service d'accompagnement pour la rénovation énergétique), mise en place d’un espace conseil France Rénov ou autres dispositifs (OPAH, CLE, PIG, ANRU, …) incluant un volet rénovation énergétique marqué.

Les volets « conseils » et « mobilisation des professionnels du bâtiment » sont évalués dans le sous-domaine 6.2 ""Bâtiments résidentiels et tertiaires"".",,,,,20,mise en œuvre,,,,,,,,,,,,
1.2.4.6,Observer et évaluer la progression de la construction et de la rénovation performante sur le territoire,"En lien avec les observatoires régionaux et nationaux, le dispositif d'observation de l'habitat et du tertiaire mis en place intègre des indicateurs attestant de la progression de la construction/rénovation durable.

Par exemple : nombre annuel de logements rénovés via les dispositifs de subventionnement et d’accompagnement dont la collectivité est partenaire (bailleurs, espace conseil France Rénov, ANRU, etc.), part de l’habitat individuel dans la production d’habitat, etc.",,,,,10,effets,,,,,,,,,,,,
1.3,Urbanisme,,,,,,,,,,,,,,,,,,,
1.3.1,Utiliser les documents d'urbanisme pour assurer la mise en œuvre des objectifs climat-air-énergie et lutter contre l'artificialisation des sols,"Les documents d’urbanisme sont en cohérence avec la stratégie climat-air-énergie de la collectivité, ils en permettent la traduction spatiale, dans une logique d'économie circulaire et de solidarité rural/urbain.

Des dispositions incitatives et opposables sont notamment prévues pour favoriser la conception bioclimatique, les formes urbaines resserrées et la mobilité durable, l’efficacité énergétique et les énergies renouvelables, les réseaux de chaleur/froid, la limitation des émissions et l'impact des polluants atmosphériques sur la population, l’adaptation au changement climatique.

La lutte contre l'artificialisation des sols et le maintien des espaces naturels, agricoles et forestiers font partie intégrante de la stratégie mise en place.","**Contexte et enjeux**

L’inventaire carbone de la chaine de valeur de l’aménagement est estimé à 340 Mt CO2eq par l’addition de l’inventaire carbone de l’acte d’aménager et du socle territorial, soit environ 75% de l’inventaire français :

-   L‘acte d’aménagement émet 47 Mt CO2eq (soit environ 10% de l’inventaire français) : la construction est le premier poste d’émission de ce secteur (50%), suivi de l’artificialisation des sols (25%) et des fluides frigorigènes utilisés en climatisation (25%).
    
-   Les émissions induites par l’usage des aménagements appelé ci-après « socle territorial » comprennent l’énergie pour la production d’électricité, de chaleur et de froid, les émissions des modes de transports liés à la mobilité contrainte par l’aménagement de l’espace et les autres affectation des sols notamment l’agriculture, la gestion et l’entretien des espaces aménagés et construits : espaces publics, bâtiments, voiries, réseaux divers. L’inventaire des émissions de gaz à effet de serre du socle territorial est estimé en 2019 à 293 Mt CO2eq, soit 65% de l’inventaire français
    

(Source : Feuille de route de décarbonation de l’aménagement, Article 301 loi « climat et résilience »)

En France, près de 79% des français résident au sein d’une zone urbanisée tandis que cette population citadine ne représentait que 61% de la population en 1960. À l’échelle nationale, l’urbanisation progresse principalement au détriment des zones agricoles, qui ont perdu en 30 ans une superficie de deux millions d’hectares. Depuis 1993 on observe par ailleurs que le rythme d’artificialisation des sols demeure plus important que la croissance de la population (source : Faire la Ville dense, durable et désirable, ADEME, 2018).

-   25 464 hectares d’espaces naturels agricoles et forestiers sont consommés chaque année en moyenne en France.
    
-   73 % de cette artificialisation sont dédiés à l’habitat.
    
-   27 % ont été réservés à l’activité entre 2009 et 2020. (Source : CEREMA)
    

Le pilotage de documents et projets d’urbanisme permet de faire participer les acteurs privés et publics mais relève au final de la décision politique, informée et motivée par l’intérêt public à long terme. L’organisation d’un pilotage des documents et opérations d’urbanisme, de la revitalisation des centres-bourgs, de la ville et de ses quartiers permettra d'inscrire durablement les enjeux CAE dans les politiques locales (urbanisme, mobilité, ...) et de s’inscrire dans une démarche “Zéro artificialisation Nette “ (ZAN).

En l’absence de SCoT applicable, les communes sont soumises à la « règle d’urbanisation limitée » qui empêche d’ouvrir de nouveaux terrains à l’urbanisation. Ce principe permet d’inciter les élus à se doter d’un projet de territoire stratégique à long terme, notamment afin de maîtriser l’étalement urbain.

**Réglementation**

-   Loi n° 2021-1104 du 22 août 2021 portant lutte contre le dérèglement climatique et renforcement de la résilience face à ses effets, dite « loi Climat et Résilience » - article 191 :

Afin d'atteindre l'objectif national d'absence de toute artificialisation nette des sols en 2050, le rythme de l'artificialisation des sols dans les dix années suivant la promulgation de la présente loi doit être tel que, sur cette période, la consommation totale d'espace observée à l'échelle nationale soit inférieure à la moitié de celle observée sur les dix années précédant cette date.

Ces objectifs sont appliqués de manière différenciée et territorialisée, dans les conditions fixées par la loi.

-   La loi ""Climat et Résilience"" introduit l'article L. 2231-1 du code général des collectivités territoriales : Le maire d'une commune ou le président de l'EPCI doté d'un plan local d'urbanisme, d'un document d'urbanisme en tenant lieu ou d'une carte communale présente au conseil municipal ou à l'assemblée délibérante, au moins une fois tous les trois ans, un rapport relatif à l'artificialisation des sols sur son territoire au cours des années civiles précédentes.
    
-   La loi n° 2023-175 du 10 mars 2023 relative à l'accélération de la production d'énergies renouvelables. Les communes ont la possibilité de définir, en concertation avec leurs habitants, des zones d'accélération dédiées à l'implantation prioritaire de projets d'énergies renouvelables.
    
-   Circulaire 24 août 2020 sur le rôle des préfets en matière d’aménagement commercial dans le cadre de la lutte contre l’artificialisation
    

L’articulation des documents d’urbanisme avec les autres démarches territoriales est définie réglementairement, notamment : le PLU doit notamment prendre en compte le PCAET et être compatible avec le SCOT. Le SCOT, lui s’impose, en termes de prise en compte, au PCAET.

-   Article L. 151-21 du Code de l'urbanisme, précisé par la loi TECV : la loi étend la capacité prescriptive du PLU en lui permettant d’imposer aux constructions, travaux, installations et aménagements une production minimale d’énergie renouvelable, les réseaux de chaleur collectifs étant pris en compte. Le PADD doit intégrer des orientations générales en matière de réseaux d’énergie. Limitation d'au moins 15% le nombre de places de stationnement si mise à disposition de véhicules électriques munis d’un dispositif de recharge adapté ou de véhicules propres en auto-partage allant au-delà des obligations réglementaires. Possibilité de dérogation au PLU pour l'isolation en saillie.
    
-   loi ALUR : par principe, la compétence PLU est transférée aux intercommunalités ; les PLU intercommunaux peuvent tenir lieu de PDU et de PLH. Une analyse de la densification et des capacités de stationnement doit être réalisée dans le rapport de présentation. Le PADD fixe des objectifs chiffrés de modération de la consommation d’espaces et de lutte contre l’étalement urbain.
    
-   Grenelle : les documents d'urbanisme peuvent intégrer de manière explicite des mesures de lutte contre le changement climatique (limitation des consommations et des émissions de GES) et d'adaptation. Par ailleurs, hors secteurs particuliers (sensibilités patrimoniales ou paysagères), les autorisations d'urbanisme ne peuvent plus s'opposer à des éléments permettant la performance énergétique, climatique ou environnementale du bâtiment. Possibilités de fixer des performances environnementales et énergétiques renforcées dans certains secteurs. Obligation de faire une étude de faisabilité sur le potentiel de développement en énergies renouvelables pour toutes opérations d’aménagement soumises à évaluation environnementale.
    
-   Outre-mer : 50 pas géométriques, les schémas d’aménagement régional des régions d’outre-mer et le volet spécifique relatif à l’élaboration des schémas régionaux de cohérence écologique pour les départements d’outre-mer.","**ADEME - Expérimentation planification bas carbone**

(Ressources, CR d’ateliers, webinaires)

[https://experimentationsurbaines.ademe.fr/bas-carbone/](https://experimentationsurbaines.ademe.fr/bas-carbone/ )

L’ADEME a accompagné, de novembre 2019 à novembre 2021, douze territoires mobilisés pour travailler à l’échelle d’un Schéma de Cohérence Territoriale (SCoT) ou d’un Plan Local d’Urbanisme intercommunal (PLUi). Il s’agissait d’une part, d’accompagner les 12 collectivités pour expérimenter l’effet levier de la planification urbaine dans la mise en œuvre de la transition écologique et, d’autre part, de mutualiser et de capitaliser les résultats pour en tirer des enseignements recueillis dans un cahier de recommandations.

-   PLUi Communauté de communes de Coutances mer et bocage
    
-   PLUi Communauté de communes de Haute-Ariège
    
-   SCoT PETR du Pays Horloger
    
-   SCoT Communauté de communes de Xaintrie Val Dordogne
    
-   PLUi Montpellier Métropole
    
-   Etc.
    

**Brest Métropole**

PLUI Facteur 4

Le plan local d'urbanisme de Brest métropole prend le nom de PLU Facteur 4 car il tient lieu de plan de déplacements urbains, de programme local de l'habitat, articulés avec le plan climat. Il fait donc la synthèse de 4 démarches de planification tout en intégrant l'objectif de diviser par 4 les émissions de gaz à effet de serre à l'horizon 2050 par rapport au niveau de 1990.

[https://brest.fr/plu](https://brest.fr/plu)

**Pôle métropolitain Nantes-Saint Nazaire**

Limitation de l’étalement urbain du SCOT de Nantes-Nazaire

La limitation de l’étalement urbain est l’un des principes forts du SCoT de Nantes-Saint Nazaire. Les orientations du SCoT ont lié fortement la possibilité de développement urbain à l’existence d’un réseau de transport conséquent. Autre orientation notable, suite au constat que 35 % des motifs de déplacement est lié aux achats et aux loisirs contre 25 % pour le travail, le SCoT s’est fixé comme objectif de structurer une offre commerciale de proximité mais aussi de favoriser la production de locaux d’activité hors zones d’activité spécialisées. Des objectifs qui visent à réduire les obligations de déplacement. Une des originalités de ce SCoT est sa mise en œuvre orientée sur la réalisation d’études de programmation au profit des communes ayant un projet de développement urbain, dont certains autour de gares dans le cadre de la réouverture du trafic aux voyageurs par une ligne ferroviaire :  
[http://www.nantessaintnazaire.fr/schema-de-coherence-territoriale-scot/](http://www.nantessaintnazaire.fr/schema-de-coherence-territoriale-scot/)

**FNAU – Repenser les écosystèmes par la planification : vers des solutions d’adaptation fondées sur la nature dans les documents d’urbanisme**

2022

10 retours d’expériences d’Agence d’urbanisme

Pays des Caux

Pays d’Aubagne et de l’Étoile

Pyrénées Audoises

Nantes Métropole

Métropole de Lyon

Avignon

Vallée de l’Oise

Littoral de la plaine du Roussillon

Orléans Métropole

Métropole Toulon

[https://www.fnau.org/wp-content/uploads/2022/06/fnau\_53\_nature\_v9\_hd\_sans\_traits\_coupe.pdf](https://www.fnau.org/wp-content/uploads/2022/06/fnau_53_nature_v9_hd_sans_traits_coupe.pdf )","Le PLU(i) au service de la transition bas carbone :

[https://librairie.ademe.fr/urbanisme-territoires-et-sols/7891-le-plui-au-service-de-la-transition-bas-carbone.html](https://librairie.ademe.fr/urbanisme-territoires-et-sols/7891-le-plui-au-service-de-la-transition-bas-carbone.html)

Cette étude formule des enseignements et des recommandations pour les collectivités, en s'appuyant sur l'évaluation quantitative, via la méthode QuantiGES, et qualitative de 10 mesures de décarbonation issues de plans locaux d'urbanisme (PLU(i) en vigueur.

Guide AEU2 et ses cahiers techniques :

[http://www.ademe.fr/collectivites-secteur-public/integrer-lenvironnement-domaines-dintervention/urbanisme-amenagement/dossier/soutiller/outils-aeu2-proposes-lademe](http://www.ademe.fr/collectivites-secteur-public/integrer-lenvironnement-domaines-dintervention/urbanisme-amenagement/dossier/soutiller/outils-aeu2-proposes-lademe)

Porter les enjeux de l’air, de l’énergie et du climat dans les SCoT :

[http://outil2amenagement.cerema.fr/porter-les-enjeux-de-l-air-de-l-energie-et-du-r842.html](http://outil2amenagement.cerema.fr/porter-les-enjeux-de-l-air-de-l-energie-et-du-r842.html)

Faire la ville dense, durable et désirable ADEME 2018 :

[https://librairie.ademe.fr/urbanisme-et-batiment/2180-faire-la-ville-dense-durable-et-desirable-9791029708732.html](https://librairie.ademe.fr/urbanisme-et-batiment/2180-faire-la-ville-dense-durable-et-desirable-9791029708732.html)

Objectif ""Zéro Artificialisation nette"" (ZAN) et contribution de l'ADEME :

[https://librairie.ademe.fr/urbanisme-et-batiment/4784-objectif-zero-artificialisation-nette-zan-et-contribution-de-l-ademe.html#/44-type\_de\_produit-format\_electronique](https://librairie.ademe.fr/urbanisme-et-batiment/4784-objectif-zero-artificialisation-nette-zan-et-contribution-de-l-ademe.html#/44-type_de_produit-format_electronique)",12,,,"<ul>
<li>
<p>Moins 50% pour les collectivités ne disposant ni de la compétence SCOT, ni de la compétence élaboration du PLU ; le maintien du potentiel est justifié par les mécanismes de concertation prévus lors de l’élaboration des documents d’urbanisme et la politique foncière qui peut être mise en place</p>
</li>
<li>
<p>Moins 30% pour les collectivités ne disposant que de la compétence SCOT</p>
</li>
</ul>
","L’action est bien centrée sur les documents d’urbanisme réglementaires : PLU, PLUI et SCOT. Pour les communes qui ont délégué la compétence à l’EPCI, le conseiller montre comment la commune est impliquée (études préalables, transmission de données…) et force de proposition lors de l’élaboration du PLUI (délibération et recommandations émises par le conseil municipal et/ou par les services). Vice versa pour les EPCI qui n’ont pas la compétence d’élaboration des PLU communaux, ils peuvent participer à la montée en compétence des services et proposer un appui technique à la rédaction, inciter les communes à mettre en place des actions exemplaires, coordonner des études mutualisées, etc. L’EPCI qui doit réaliser son PCAET peut apporter un certain nombre de livrables aux communes pour qu’elles les prennent en compte dans l’élaboration de leur PLU.

Rappel : Les PLU et SCOT doivent réglementairement définir des objectifs chiffrés de modération de la consommation de l'espace depuis les lois Grenelle.

Ne pas évaluer ici sauf si elles sont clairement transposées dans le règlement du PLU ou ses OAP :

-   Les opérations d’aménagements exemplaires (action 1.3.2)
    
-   Les actions de conseil ou de contrôle des travaux des pétitionnaires (action 1.3.3)
    
-   Les mesures prises pour le maintien et le développement des forêts et des espaces verts (action 6.4.3)
    
-   Les mesures prises pour le maintien de la biodiversité (action 3.3.4)
    

Lien vers d’autres actions (non cité ci-dessus)

-   Action 6.4.1 : Soutenir une alimentation et une agriculture durable
    
-   Action 1.2.4 : Planifier la rénovation des bâtiments résidentiels et tertiaires et la construction durable sur le territoire
    
-   Action 1.2.2 : Organiser les mobilités sur le territoire
    
-   Action 1.2.1 : Mettre en place un schéma directeur des énergies et des réseaux de chaleur
    

Labellisation unique ville-EPCI : Des indicateurs distincts peuvent être suivis ou gardés en mémoire par les deux collectivités mais la notation Cit'ergie est basée sur les indicateurs disponibles à la plus grande échelle possible, donc de préférence intercommunale (PLUI, SCOT). En l'absence de données à cette échelle, indicateur à l'échelle communale.",,,,,"si reponse(urba_1, NON) et reponse(SCoT, NON) alors 6/12 
sinon si reponse(urba_1, NON) et reponse(SCoT, OUI) alors 0.7 
","Pour une collectivité n'ayant ni la compétence PLU, ni la compétence SCOT, le score de la 1.3.1 est réduit de 50 %.

Pour une collectivité n'ayant pas la compétence PLU mais disposant de la compétence SCOT, le score de la 1.3.1 est réduit de 30 %.","urba_1, SCoT","cae_10, cae_11, cae_9, cae_9.a, cae_9.b, cae_9.c",,x
